CaseID, Init.Err, Res.Err
1,1.00147,0.050413
9,11.1222,0.125862
3,14.0281,15.3096
6,8.02878,0.0587854
1,13.0191,0.0696789
4,14.1757,7.15856
3,10.0201,0.357574
2,11,13.2524
9,8.08884,0.0976612
10,2.0031,0.043206
10,11.017,0.0342648
7,9.07428,0.0623701
4,0,-1
10,7.01084,0.049375
9,5.05552,0.0747896
5,0,1.42E-13
7,13.1073,-1
2,8.00003,0.0648826
6,5.01799,0.156493
9,4.04442,0.0524223
3,4.00802,0.020994
9,14.1555,0.624938
5,6.03195,0.104583
4,10.1255,0.0255655
2,3.00001,0.0932629
3,4.00802,0.0323829
6,0,4.03E-14
10,3.00464,0.0670028
3,9.01805,0.110066
6,2.00719,0.0785982
6,15.054,15.978
4,2.02511,0.033721
8,12.0675,24.24
4,2.02511,0.0430668
8,14.0788,15.0176
10,15.0232,5.36684
4,4.05021,0.0273363
1,6.00882,0.1127
6,1.0036,0.0554635
7,6.04952,0.180303
3,2.00401,-1
1,4.00588,0.100982
4,2.02511,0.0404296
6,0,-1
3,13.0261,10.0743
2,13,18.026
4,4.05021,0.0543877
6,4.01439,0.0542959
10,12.0186,0.158656
5,0,-1
9,11.1222,0.0519417
6,14.0504,20.8087
7,3.02476,0.0537113
7,12.099,10.8527
5,13.0692,8.47244
8,1.00563,0.0513611
9,13.1444,2.3801
2,0,2.86E-14
10,4.00619,0.0403428
4,12.1506,0.0328928
8,7.0394,0.030158
2,8.00003,0.048841
8,6.03377,0.017389
5,12.0639,-1
5,11.0586,2.03258
9,9.09995,0.0712515
7,14.1156,14.1901
10,0,2.25E-14
1,1.00147,0.0743115
8,0,-1
8,0,8.88E-16
8,10.0563,0.0574055
5,12.0639,3.21033
10,14.0217,13.7303
4,7.08787,0.137988
5,13.0692,9.68586
1,14.0206,9.87085
5,3.01598,0.0649777
9,6.06663,0.0915688
9,10.111,0.041363
7,9.07428,0.102648
4,4.05021,0.0263495
7,1.00825,0.052504
9,7.07773,0.0246639
1,12.0176,0.112136
10,2.0031,0.0441339
6,10.036,2.04218
4,15.1883,0.0512512
7,11.0908,0.18335
3,10.0201,7.34374
2,10,10.2701
7,6.04952,0.0179932
4,9.11298,0.0541901
3,14.0281,10.3329
8,1.00563,0.0261083
5,10.0533,0.0803249
8,3.01689,0.0223782
10,1.00155,-1
10,8.01238,0.100997
7,2.01651,0.0316589
4,13.1632,17.9257
9,11.1222,0.112353
2,9.00003,0.147883
5,0,7.15E-14
2,1,0.0396007
8,15.0844,23.4872
7,14.1156,0.225849
4,13.1632,-1
6,10.036,0.125504
6,0,3.47E-14
5,13.0692,6.61914
9,0,-1
1,6.00882,0.0892416
10,15.0232,7.96275
2,7.00002,0.0757731
2,11,0.283584
9,1.01111,0.0374392
4,8.10043,0.0659746
9,1.01111,-1
1,11.0162,0.0393333
7,15.1238,17.1102
1,12.0176,-1
2,2.00001,-1
4,14.1757,0.156595
8,13.0732,19.4448
9,7.07773,0.0303016
4,9.11298,0.035734
1,6.00882,0.133323
7,4.03302,0.0271226
2,9.00003,0.118175
4,14.1757,15.7702
7,13.1073,19.7224
9,13.1444,1.20679
9,0,1.56E-13
4,7.08787,0.085766
4,13.1632,0.083591
5,10.0533,0.110511
3,10.0201,7.30817
5,8.0426,0.0610523
7,0,1.19E-14
4,12.1506,0.0672581
5,10.0533,0.187929
1,15.022,6.44151
7,4.03302,0.0417685
1,12.0176,0.175931
9,15.1666,1.29747
5,11.0586,0.050044
4,15.1883,13.5882
9,11.1222,0.0504759
6,10.036,0.116273
7,14.1156,13.3493
2,0,2.86E-14
4,2.02511,0.0254195
10,5.00774,-1
8,9.05066,0.0367639
8,6.03377,0.040724
3,12.0241,9.99939
4,5.06277,0.0465216
8,5.02814,0.0789642
1,7.01029,0.0451773
1,6.00882,0.12797
2,0,2.86E-14
4,6.07532,0.0874869
3,5.01003,-1
6,4.01439,0.0375785
5,4.0213,0.0806487
8,6.03377,0.0570015
6,5.01799,0.130233
4,10.1255,0.035382
7,15.1238,14.575
9,3.03331,0.0468148
2,9.00003,0.0332289
1,11.0162,0.0555637
7,7.05778,0.085354
2,4.00001,0.0257967
2,5.00002,0.0153894
4,4.05021,0.0251283
3,2.00401,0.021198
6,15.054,7.55382
5,15.0799,11.1288
3,6.01203,0.0683627
5,6.03195,0.133801
8,0,8.88E-16
7,7.05778,-1
6,15.054,-1
2,11,0.250198
8,1.00563,0.0351023
2,15.0001,22.1128
2,8.00003,0.0335692
3,0,3.38E-14
2,14,19.5926
2,13,11.4505
4,15.1883,16.654
4,5.06277,0.0449531
2,4.00001,0.0797942
10,1.00155,0.0573907
1,13.0191,25.2159
9,12.1333,0.117809
6,9.03238,-1
3,2.00401,0.0333177
4,6.07532,0.0820408
1,12.0176,0.112136
4,9.11298,0.0458352
1,8.01176,0.194034
4,15.1883,13.9056
6,7.02518,0.112117
5,9.04793,0.102589
4,1.01255,0.0256502
7,3.02476,0.0520994
3,14.0281,7.26865
7,5.04127,0.0409883
8,13.0732,1.55108
5,0,-1
2,6.00002,0.0952988
8,15.0844,11.8904
5,13.0692,8.01819
7,3.02476,-1
9,9.09995,0.0691016
5,14.0746,0.845837
2,3.00001,0.0242022
9,10.111,0.0804508
6,8.02878,-1
2,15.0001,20.1141
10,13.0201,25.8253
3,1.00201,0.0337785
2,5.00002,0.130945
4,0,8.93E-14
2,9.00003,0.0241561
7,9.07428,0.0107097
4,7.08787,0.0916174
2,13,13.9207
1,14.0206,0.0847523
9,2.02221,0.0246931
7,6.04952,0.0280499
2,11,16.8703
8,10.0563,0.0574055
2,10,0.0793335
2,14,15.3626
1,7.01029,0.0717736
4,12.1506,0.0720419
4,5.06277,0.0596188
3,12.0241,6.79387
4,2.02511,0.120691
1,15.022,5.33733
3,0,-1
5,9.04793,0.153738
9,9.09995,0.0659128
2,2.00001,0.0638479
8,10.0563,0.0940926
8,1.00563,0.0351023
3,5.01003,0.0170501
3,0,-1
5,8.0426,0.0671267
2,4.00001,0.0433693
1,11.0162,0.018418
8,13.0732,14.3237
2,4.00001,0.0261515
10,2.0031,0.0890142
