CaseID, Init.Err, Res.Err
5,8.6458,0.172878
2,6.00002,0.0374756
6,12.846,8.7892
4,11.5431,0.0333696
7,7.05778,0.0292776
4,14.1757,0.127384
1,11.4168,0.185379
10,9.41455,0.111369
2,9.60003,0.36112
5,11.6618,0.217626
6,13.4482,14.6276
8,13.4754,9.75691
2,8.00003,0.0516488
9,8.6955,0.0456487
4,10.7331,0.0334356
3,12.2245,5.04144
8,11.4642,0.108545
9,12.3355,2.47186
8,12.0675,14.3293
2,8.60003,0.0432562
5,8.6458,0.243556
3,12.0241,10.9351
7,11.6957,15.6145
10,7.41146,0.0218897
4,5.87281,0.0476786
3,9.61925,0.0292197
4,6.68285,0.0519477
10,13.4207,0.0549043
1,11.0162,0.114185
6,8.63094,0.0706053
4,11.5431,0.0363858
2,9.60003,0.0557616
8,12.8721,13.3988
6,13.8496,13.4449
1,6.40941,0.137969
6,9.43382,0.0458319
5,14.0746,19.2583
3,5.61123,0.0201592
4,6.48034,0.0321451
9,7.88662,0.0414019
5,12.265,0.0673296
5,10.2543,0.0290496
10,10.4161,0.0551543
10,10.4161,0.0208677
8,9.25179,0.0457858
9,7.27996,0.0936683
8,13.4754,1.20201
6,11.0396,0.0252141
2,5.60002,0.0456258
8,9.05066,-1
2,9.60003,0.154077
8,14.0788,3.50006
2,14,-1
2,6.40002,0.0364958
3,8.41685,0.0185735
8,11.4642,11.0189
6,13.8496,16.0628
9,7.07773,-1
2,7.00002,0.0272815
7,8.87263,0.0464535
5,5.42876,0.0325257
2,13.4,13.3647
3,8.21644,0.0238458
9,5.25775,-1
9,8.89772,0.0534229
2,11.8,9.34129
2,11.2,4.89389
10,9.61486,0.0411707
9,13.1444,1.36186
1,10.8159,0.146026
3,9.21845,0.0963173
10,8.81362,0.03048
8,6.63715,0.0681344
7,11.2924,0.12542
1,5.40794,0.12116
6,6.42302,0.336144
3,7.41484,0.0664764
9,12.7399,0.677664
4,9.92302,0.105297
7,8.67098,0.00829203
2,11.2,0.0909373
6,9.03238,-1
2,9.00003,0.0357351
2,7.40003,0.0924013
3,9.81965,0.0366426
4,7.29038,0.0507213
6,9.63454,0.087337
10,5.40836,0.149466
6,13.0468,11.3494
8,10.4585,0.0644853
5,7.43941,-1
9,6.87551,0.0489113
9,6.87551,0.0632093
6,5.21871,0.0938247
7,6.85613,0.109644
6,9.2331,0.14331
7,13.7123,13.0747
6,8.02878,0.051432
6,5.21871,0.0896365
1,5.20764,0.117233
7,10.6875,0.0493373
4,8.70796,0.0489979
4,5.87281,0.0673374
9,5.86441,0.0414114
2,13.4,15.1271
8,6.2349,0.0598615
4,10.328,0.0438968
4,8.70796,0.0702845
5,13.4714,16.5617
2,6.00002,0.0973632
8,12.4698,1.71907
7,11.2924,0.114213
4,6.88536,0.0564653
3,11.0221,0.163605
1,13.2194,7.50832
10,13.0201,4.02587
5,9.24899,0.0967797
3,7.81564,0.0505003
7,11.2924,0.691014
5,5.42876,0.134862
6,12.6453,13.0632
7,12.5023,9.5831
